
CommandType     Name                                               Version    Source
-----------     ----                                               -------    ------
Alias           Get-AADGroup                                       6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-AADGroupCreatedOnBehalfOf                      6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-AADGroupCreatedOnBehalfOfReference             6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-AADGroupGroupLifecyclePolicy                   6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-AADGroupMember                                 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-AADGroupMemberOf                               6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-AADGroupMemberOfReferenceSet                   6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-AADGroupMemberReferenceSet                     6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-AADGroupOwner                                  6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-AADGroupOwnerReferenceSet                      6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-AADGroupPhoto                                  6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-AADGroupPhotoDataData                          6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-AADGroupPhotoSet                               6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-AADGroupPhotoSetDataData                       6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-AADGroupSetting                                6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneAppConfigurationPolicyTargeted           6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneAppConfigurationPolicyTargetedApp        6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneAppConfigurationPolicyTargetedAssignment 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneAppConfigurationPolicyTargetedDeploymen… 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneApplePushNotificationCertificate         6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneAppProtectionPolicy                      6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneAppProtectionPolicyAndroid               6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneAppProtectionPolicyAndroidApp            6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneAppProtectionPolicyAndroidAssignment     6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneAppProtectionPolicyAndroidDeploymentSum… 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneAppProtectionPolicyApp                   6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneAppProtectionPolicyAssignment            6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneAppProtectionPolicyDefault               6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneAppProtectionPolicyDefaultApp            6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneAppProtectionPolicyDefaultDeploymentSum… 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneAppProtectionPolicyDeploymentSummary     6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneAppProtectionPolicyExemptAppLockerFile   6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneAppProtectionPolicyIos                   6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneAppProtectionPolicyIosApp                6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneAppProtectionPolicyIosAssignment         6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneAppProtectionPolicyIosDeploymentSummary  6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneAppProtectionPolicyProtectedAppLockerFi… 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneConditionalAccessSetting                 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDetectedApp                              6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDetectedAppDevice                        6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDetectedAppDeviceReferenceSet            6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceAppManagement                      6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceCategory                           6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceCompliancePolicy                   6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceCompliancePolicyAssignment         6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceCompliancePolicyDeviceSettingStat… 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceCompliancePolicyDeviceStateSummary 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceCompliancePolicyDeviceStatus       6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceCompliancePolicyDeviceStatusOverv… 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceCompliancePolicyScheduledActionsF… 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceCompliancePolicyScheduledActionsF… 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceCompliancePolicySettingSummary     6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceCompliancePolicyUserStatus         6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceCompliancePolicyUserStatusOverview 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceComplianceSettingState             6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceConfigurationDeviceStateSummary    6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceConfigurationPolicy                6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceConfigurationPolicyAssignment      6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceConfigurationPolicyDeviceSettingS… 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceConfigurationPolicyDeviceStatus    6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceConfigurationPolicyDeviceStatusOv… 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceConfigurationPolicyUserStatus      6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceConfigurationPolicyUserStatusOver… 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceEnrollmentConfiguration            6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceEnrollmentConfigurationAssignment  6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceManagement                         6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneDeviceManagementPartner                  6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneExchangeConnector                        6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneIosUpdateStatus                          6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneLocalizedNotificationMessage             6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneManagedAppRegistration                   6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneManagedAppStatus                         6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneManagedDevice                            6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneManagedDeviceDeviceCategory              6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneManagedDeviceDeviceCompliancePolicyState 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneManagedDeviceDeviceConfigurationState    6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneManagedDeviceOverview                    6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneManagedDeviceOverviewReference           6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneManagedEBook                             6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneManagedEBookAssignment                   6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneManagedEBookDeviceState                  6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneManagedEBookInstallSummary               6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneManagedEBookUserStateSummary             6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneManagedEBookUserStateSummaryDeviceState  6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneMdmWindowsInformationProtectionPolicy    6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneMdmWindowsInformationProtectionPolicyAs… 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneMdmWindowsInformationProtectionPolicyEx… 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneMdmWindowsInformationProtectionPolicyPr… 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneMobileApp                                6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneMobileAppAssignment                      6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneMobileAppCategory                        6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneMobileAppCategorySet                     6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneMobileAppCategorySetReferenceSet         6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneMobileAppConfigurationPolicy             6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneMobileAppConfigurationPolicyAssignment   6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneMobileAppConfigurationPolicyDeviceStatus 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneMobileAppConfigurationPolicyDeviceStatu… 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneMobileAppConfigurationPolicyUserStatus   6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneMobileAppConfigurationPolicyUserStatusS… 6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneMobileAppContentVersion                  6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneMobileAppContentVersionFile              6.1907.1.0 Microsoft.Graph.Intune
Alias           Get-IntuneMobileThreatDefenseConnector             6.1907.1.0 Microsoft.Graph.Intune
