
CommandType     Name                                               Version    Source
-----------     ----                                               -------    ------
Function        Get-MgAdminEdge                                    2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgAdminEdgeInternetExplorerMode                2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgAdminEdgeInternetExplorerModeSiteList        2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgAdminEdgeInternetExplorerModeSiteListCount   2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgAdminEdgeInternetExplorerModeSiteListShared… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgAdminEdgeInternetExplorerModeSiteListShared… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgAdminEdgeInternetExplorerModeSiteListSite    2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgAdminEdgeInternetExplorerModeSiteListSiteCo… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagement                             2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDetectedApp                  2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDetectedAppCount             2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDetectedAppManagedDevice     2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDetectedAppManagedDeviceCou… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCategory               2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCategoryCount          2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCompliancePolicy       2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCompliancePolicyAssig… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCompliancePolicyAssig… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCompliancePolicyCount  2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCompliancePolicyDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCompliancePolicyDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCompliancePolicyDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCompliancePolicyDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCompliancePolicyDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCompliancePolicyDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCompliancePolicySched… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCompliancePolicySched… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCompliancePolicySched… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCompliancePolicySched… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCompliancePolicySetti… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCompliancePolicySetti… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCompliancePolicySetti… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCompliancePolicySetti… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCompliancePolicyUserS… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCompliancePolicyUserS… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceCompliancePolicyUserS… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceConfiguration          2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceConfigurationAssignme… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceConfigurationAssignme… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceConfigurationCount     2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceConfigurationDeviceSe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceConfigurationDeviceSe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceConfigurationDeviceSt… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceConfigurationDeviceSt… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceConfigurationDeviceSt… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceConfigurationDeviceSt… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceConfigurationUserStat… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceConfigurationUserStat… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementDeviceConfigurationUserStat… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementManagedDevice                2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementManagedDeviceCategory        2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementManagedDeviceCompliancePoli… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementManagedDeviceCompliancePoli… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementManagedDeviceConfigurationS… 2.11.1     Microsoft.Graph.DeviceManagement
